Finance (Priority A)
LeadDiscussion,A,"Discussion about leads → invoice",Model,"CRM"
LeadEmail,A,"Emails about leads → invoice",Model,"CRM"
LeadFile,A,"Files about leads → invoice",Model,"CRM"
LeadStage,A,"Pipeline stage (leads)",Model,"CRM"
Order,A,"Sales order → invoice",Model,"CRM"
Proposal,A,"Proposal → can become invoice",Model,"CRM"
ProposalProduct,A,"Product lines in proposal",Model,"CRM"
UserCoupon,A,"Coupons affecting invoices",Model,"CRM"
UserDeal,A,"Link user→deal → invoice",Model,"CRM"
UserLead,A,"Link user→lead → invoice",Model,"CRM"
ClientController,A,"Clients for invoicing",Controller,"CRM"
CommissionController,A,"Handle sales commissions",Controller,"CRM"
CouponController,A,"Discount logic for invoices",Controller,"CRM"
CustomerController,A,"Manage customers (invoices)",Controller,"CRM"
DealController,A,"Pipeline leading to invoices",Controller,"CRM"
LeadController,A,"Manage leads → invoices",Controller,"CRM"
LeadStageController,A,"Manage lead stages",Controller,"CRM"
ProposalController,A,"Often turned into invoice",Controller,"CRM"
ProposalProductController,A,"Manage proposal products",Controller,"CRM"
CustomerExport,A,"Export customers",Export,"CRM"
ProposalExport,A,"Export proposals → invoice",Export,"CRM"

CRM (Priority B)
SalesReportExport,B,"Sales summary (BI)",Export,"CRM"
StockReport,B,"Stock info (BI/reporting)",Model,"CRM"

HR (Priority A)
PaySlip,A,"Payroll slip (HR)",Model,"HR"
PayslipType,A,"Type of payslip (HR)",Model,"HR"
PaySlipController,A,"Manage payroll slips",Controller,"HR"
PayslipTypeController,A,"Manage payslip types",Controller,"HR"
PayslipExport,A,"Export payslips",Export,"HR"

HR (Priority C)
Allowance,C,"Payroll allowance (HR)",Model,"HR"
AllowanceOption,C,"Allowance option (HR)",Model,"HR"
Asset,C,"Fixed asset (internal)",Model,"HR"
Budget,C,"Internal budgeting (HR)",Model,"HR"
Loan,C,"Employee loan",Model,"HR"
LoanOption,C,"Loan config (HR)",Model,"HR"
SaturationDeduction,C,"Payroll deduction",Model,"HR"
SetSalary,C,"Set salary (HR)",Model,"HR"
Travel,C,"Travel reimbursements",Model,"HR"
AllowanceController,C,"Manage payroll allowances",Controller,"HR"
AllowanceOptionController,C,"Manage allowance options",Controller,"HR"
AssetController,C,"Manage fixed assets",Controller,"HR"
BudgetController,C,"Manage internal budget",Controller,"HR"
DeductionOptionController,C,"Payroll deductions",Controller,"HR"
LoanController,C,"Manage internal loans",Controller,"HR"
LoanOptionController,C,"Manage loan config",Controller,"HR"
SaturationDeductionController,C,"Manage payroll deduction",Controller,"HR"
SetSalaryController,C,"Manage salary config",Controller,"HR"
TravelController,C,"Travel reimbursements",Controller,"HR"
EmployeeExport,C,"Export employee data",Export,"HR"
PayrollExport,C,"Export payroll data",Export,"HR"
EmployeesImport,C,"Import employee data",Import,"HR"

HR (Priority D)
Appraisal,D,"HR performance appraisal",Model,"HR"
AttendanceEmployee,D,"Employee attendance",Model,"HR"
Award,D,"HR award",Model,"HR"
AwardType,D,"Type of HR award",Model,"HR"
CompanyPolicy,D,"Company policy doc (HR)",Model,"HR"
Competencies,D,"HR skill sets",Model,"HR"
Complaint,D,"Complaint (HR)",Model,"HR"
Contract,D,"Contract (HR/legal)",Model,"HR"
Contract_attachment,D,"Contract file",Model,"HR"
ContractComment,D,"Comment on contract",Model,"HR"
ContractNotes,D,"Notes on contract",Model,"HR"
ContractType,D,"Type of contract (HR)",Model,"HR"
Department,D,"Company department",Model,"HR"
Designation,D,"HR roles/titles",Model,"HR"
ExperienceCertificate,D,"HR doc (experience)",Model,"HR"
GenerateOfferLetter,D,"Offer letter (HR)",Model,"HR"
Holiday,D,"HR holiday",Model,"HR"
Indicator,D,"Performance indicator (HR)",Model,"HR"
InterviewSchedule,D,"Interview scheduling (HR)",Model,"HR"
Job,D,"Recruitment job",Model,"HR"
JobApplication,D,"Candidate application",Model,"HR"
JobApplicationNote,D,"Notes on application",Model,"HR"
JobCategory,D,"Job category (HR)",Model,"HR"
JobOnBoard,D,"Onboarding record",Model,"HR"
JobStage,D,"Recruitment stage",Model,"HR"
JoiningLetter,D,"HR joining letter",Model,"HR"
Leave,D,"HR leave",Model,"HR"
LeaveType,D,"Type of leave (HR)",Model,"HR"
NOC,D,"No Objection Cert",Model,"HR"
Overtime,D,"HR overtime",Model,"HR"
PerformanceType,D,"Performance category (HR)",Model,"HR"
Promotion,D,"HR promotion",Model,"HR"
Resignation,D,"HR resignation",Model,"HR"
Termination,D,"HR termination",Model,"HR"
TerminationType,D,"Type of termination",Model,"HR"
Trainer,D,"HR trainer",Model,"HR"
Training,D,"HR training",Model,"HR"
TrainingType,D,"Type of HR training",Model,"HR"
Warning,D,"HR/system warning",Model,"HR"
AppraisalController,D,"Manage performance appraisals",Controller,"HR"
AttendanceEmployeeController,D,"Manage employee attendance",Controller,"HR"
AwardController,D,"Manage HR awards",Controller,"HR"
AwardTypeController,D,"Manage award types",Controller,"HR"
CompanyPolicyController,D,"Manage company policy (HR)",Controller,"HR"
CompetenciesController,D,"Manage skill sets",Controller,"HR"
ComplaintController,D,"Manage HR complaints",Controller,"HR"
ContractController,D,"Manage HR contracts",Controller,"HR"
ContractTypeController,D,"Manage contract types",Controller,"HR"
DepartmentController,D,"Manage departments (HR)",Controller,"HR"
DesignationController,D,"Manage HR designations",Controller,"HR"
HolidayController,D,"Manage holidays (HR)",Controller,"HR"
IndicatorController,D,"Manage performance indicators",Controller,"HR"
InterviewScheduleController,D,"Manage interviews (HR)",Controller,"HR"
JobApplicationController,D,"Manage candidate apps",Controller,"HR"
JobCategoryController,D,"Manage job categories",Controller,"HR"
JobController,D,"Manage job postings",Controller,"HR"
JobStageController,D,"Manage recruitment stages",Controller,"HR"
LeaveController,D,"Manage HR leaves",Controller,"HR"
OvertimeController,D,"Manage HR overtime",Controller,"HR"
PerformanceTypeController,D,"Manage performance categories",Controller,"HR"
PromotionController,D,"Manage HR promotions",Controller,"HR"
ResignationController,D,"Manage resignations",Controller,"HR"
TerminationController,D,"Manage terminations",Controller,"HR"
TerminationTypeController,D,"Manage termination types",Controller,"HR"
TrainerController,D,"Manage trainers",Controller,"HR"
TrainingController,D,"Manage trainings",Controller,"HR"
TrainingTypeController,D,"Manage training types",Controller,"HR"
WarningController,D,"Manage warnings",Controller,"HR"
LeaveReportExport,D,"Export leave data",Export,"HR"
AttendanceImport,D,"Import attendance data",Import,"HR"

Management (Priority D)
Milestone,D,"Project milestone",Model,"Management"
Project,D,"Project entity",Model,"Management"
ProjectEmailTemplate,D,"Emails for projects",Model,"Management"
Projectstages,D,"Project stages",Model,"Management"
ProjectTask,D,"Project tasks",Model,"Management"
ProjectUser,D,"Project→User link",Model,"Management"
TimeTracker,D,"Track project time",Model,"Management"
Timesheet,D,"Project timesheet",Model,"Management"
ProjectController,D,"Manage projects",Controller,"Management"
ProjectReportController,D,"Project reports",Controller,"Management"
ProjectstagesController,D,"Manage project stages",Controller,"Management"
ProjectTaskController,D,"Manage project tasks",Controller,"Management"
TimeTrackerController,D,"Manage time tracking",Controller,"Management"
TimesheetController,D,"Manage timesheets",Controller,"Management"

System (Priority D)
Activity,D,"Generic activity entity",Model,"System"
ActivityLog,D,"Activity logging",Model,"System"
Announcement,D,"Company announcement",Model,"System"
AnnouncementEmployee,D,"Announcement→employee link",Model,"System"
Branch,D,"Company branch",Model,"System"
Bug,D,"Bug or issue entity",Model,"System"
BugComment,D,"Comments on bug",Model,"System"
BugFile,D,"Bug file attachments",Model,"System"
BugStatus,D,"Bug status",Model,"System"
ChFavorite,D,"Chat favorite item",Model,"System"
ChMessage,D,"Chat message record",Model,"System"
ClientPermission,D,"Client permission logic",Model,"System"
CommonEmailTemplate,D,"Generic email template",Model,"System"
Document,D,"Generic document",Model,"System"
DucumentUpload,D,"File upload record",Model,"System"
Event,D,"Calendar event",Model,"System"
EventEmployee,D,"Event→employee link",Model,"System"
Label,D,"Label or tag entity",Model,"System"
Language,D,"i18n language data",Model,"System"
LoginDetail,D,"Auth login detail",Model,"System"
Meeting,D,"Generic meeting entity",Model,"System"
MeetingEmployee,D,"Meeting→employee link",Model,"System"
Notification,D,"In-app notifications",Model,"System"
NotificationTemplateLangs,D,"Notification i18n data",Model,"System"
NotificationTemplates,D,"Notification templates",Model,"System"
Plan,D,"Subscription/plan entity",Model,"System"
PlanRequest,D,"Plan upgrade request",Model,"System"
Support,D,"Support ticket entity",Model,"System"
SupportReply,D,"Replies to support ticket",Model,"System"
Task,D,"Generic task entity",Model,"System"
TaskChecklist,D,"Checklist items in task",Model,"System"
TaskComment,D,"Comments on task",Model,"System"
TaskFile,D,"Task file attachments",Model,"System"
TaskStage,D,"Stages for tasks",Model,"System"
Template,D,"Base template entity",Model,"System"
TestMail,D,"Test mail function",Model,"System"
User,D,"Generic user model",Model,"System"
UserContact,D,"User contact info",Model,"System"
UserEmailTemplate,D,"User-based email template",Model,"System"
UserToDo,D,"Personal to-do list",Model,"System"
WebhookSetting,D,"Webhook config",Model,"System"
ZoomMeeting,D,"Zoom meeting entity",Model,"System"
ActivityController,D,"Manages generic activity",Controller,"System"
AiTemplateController,D,"AI templates logic",Controller,"System"
AnnouncementController,D,"Manage announcements",Controller,"System"
ApiController,D,"Generic API endpoint",Controller,"System"
BranchController,D,"Manage company branches",Controller,"System"
BugStatusController,D,"Manage bug statuses",Controller,"System"
ConfirmablePasswordController,D,"Auth/password confirm",Controller,"System"
Controller,D,"Base/placeholder controller",Controller,"System"
CustomFieldController,D,"Manage extra custom fields",Controller,"System"
CustomPageController,D,"Custom pages mgmt",Controller,"System"
CustomQuestionController,D,"Manage form questions",Controller,"System"
DashboardController,D,"Generic dashboard",Controller,"System"
DiscoverController,D,"Marketing site logic",Controller,"System"
DocumentController,D,"Manage documents",Controller,"System"
DucumentUploadController,D,"File upload mgmt",Controller,"System"
EmailTemplateController,D,"Notification email templates",Controller,"System"
EmailVerificationNotificationController,D,"Email verify logic",Controller,"System"
EmailVerificationPromptController,D,"Verification prompt",Controller,"System"
EventController,D,"Manage calendar events",Controller,"System"
FaqController,D,"FAQ page",Controller,"System"
FeaturesController,D,"Marketing site features",Controller,"System"
FormBuilderController,D,"Dynamic form builder",Controller,"System"
HomeController,D,"Home page logic",Controller,"System"
JoinUsController,D,"Sign-up/marketing page",Controller,"System"
LandingPageController,D,"Landing page (marketing)",Controller,"System"
LanguageController,D,"Manage languages (i18n)",Controller,"System"
MeetingController,D,"Manage meetings",Controller,"System"
MessagesController,D,"User messaging/chat",Controller,"System"
NewPasswordController,D,"Reset password logic",Controller,"System"
NotificationTemplatesController,D,"Manage notification templates",Controller,"System"
PasswordResetLinkController,D,"Auth password reset link",Controller,"System"
PermissionController,D,"RBAC/permissions",Controller,"System"
PipelineController,D,"Manage dev/CRM pipeline",Controller,"System"
PlanController,D,"Manage subscription plans",Controller,"System"
PlanRequestController,D,"Manage plan requests",Controller,"System"
PricingPlanController,D,"Pricing page (marketing)",Controller,"System"
RoleController,D,"RBAC roles",Controller,"System"
ScreenshotsController,D,"Marketing screenshots",Controller,"System"
SourceController,D,"Lead source mgmt",Controller,"System"
StageController,D,"Generic pipeline stages",Controller,"System"
SupportController,D,"Manage support tickets",Controller,"System"
SystemController,D,"System settings",Controller,"System"
UserController,D,"Manage users",Controller,"System"
VerifyEmailController,D,"Email verify (auth)",Controller,"System"
ZoomMeetingController,D,"Manage Zoom meetings",Controller,"System"
AddMenuProvider,D,"Provider to add menus",Provider,"System"
AiTemplateSeeder,D,"Seeder for AI templates",Provider,"System"
AppServiceProvider,D,"Framework base provider",Provider,"System"
AuthServiceProvider,D,"Auth provider (RBAC)",Provider,"System"
BroadcastServiceProvider,D,"Broadcasting provider",Provider,"System"
DatabaseSeeder,D,"Global DB seeder",Provider,"System"
EventServiceProvider,D,"Event system provider",Provider,"System"
LandingPageDataTableSeeder,D,"Seeds landing page data",Provider,"System"
LandingPageDatabaseSeeder,D,"Seeds landing page DB",Provider,"System"
LandingPageServiceProvider,D,"Landing page provider",Provider,"System"
NotificationSeeder,D,"Seeds notification data",Provider,"System"
PlansTableSeeder,D,"Seeds subscription plans",Provider,"System"
RouteServiceProvider,D,"Routes config provider",Provider,"System"
UsersTableSeeder,D,"Seeds users table",Provider,"System"
ApiResponser,D,"API response helper",Trait,"System"
Utility,D,"Generic utility trait",Trait,"System"
ZoomMeetingTrait,D,"Zoom integration helper",Trait,"System"
Authenticate,D,"Auth middleware",Middleware,"System"
CheckForMaintenanceMode,D,"Maintenance mode check",Middleware,"System"
EncryptCookies,D,"Cookie security",Middleware,"System"
IpRestrict,D,"IP restriction",Middleware,"System"
PreventRequestsDuringMaintenance,D,"Block requests in maintenance",Middleware,"System"
RevalidateBackHistory,D,"Browser back-button fix",Middleware,"System"
Session,D,"Session handling group",Middleware,"System"
TrustHosts,D,"Host trust middleware",Middleware,"System"
TrustProxies,D,"Proxy trust middleware",Middleware,"System"
VerifyCsrfToken,D,"CSRF protection",Middleware,"System"
XSS,D,"XSS protection",Middleware,"System"
api,D,"API routes",Routing,"System"
auth,D,"Auth routes",Routing,"System"
channels,D,"Broadcast channels",Routing,"System"
console,D,"Console (Artisan) routes",Routing,"System"
web,D,"Web routes",Routing,"System"
